"title","company","salary_label","location_label","description","search_term","source","creationdate","worktypecode","title_clean","description_clean","description_words","description_tsv","keywords"
Influencer Specialist,White Fox Boutique,"",Australia," White Fox is a globally recognised fashion brand loved by babes and celebs worldwide. 
 Established in 2013 and based in Sydney, Australia, White Fox has quickly become the go-to online fashion destination and is continuing to take over wardrobes everywhere. 
 An exciting...",data analyst,swooped.co,2025-08-12 00:00:00.000 +0700,not_specified,Influencer Specialist,"White Fox is a globally recognised fashion brand loved by babes and celebs worldwide. Established in 2013 and based in Sydney, Australia, White Fox has quickly become the go-to online fashion destination and is continuing to take over wardrobes everywhere. An exciting...",white fox is a globally recognised fashion brand loved by babes and celebs worldwide established in and based in sydney australia white fox has quickly become the go to online fashion destination and is continuing to take over wardrobes everywhere an exciting,"'2013':17 'australia':22 'babe':11 'base':19 'becom':27 'brand':8 'celeb':13 'continu':37 'destin':34 'establish':15 'everywher':42 'excit':44 'fashion':7,33 'fox':2,24 'global':5 'go':30 'go-to':29 'love':9 'onlin':32 'quick':26 'recognis':6 'sydney':21 'take':39 'wardrob':41 'white':1,23 'worldwid':14","{2013,australia,babe,base,becom,brand,celeb,continu,destin,establish,everywher,excit,fashion,fox,global,go,go-to,love,onlin,quick,recognis,sydney,take,wardrob,white,worldwid}"
"Talent Attraction, Events & Industry Pathways Specialist",Tesla,"",Australia," What To Expect 
 We are seeking an proactive, confident and engaging Industry Relations & Events Specialist to join our Aftersales team, with a focus on promoting Tesla's Aftersales employer brand, coordinating industry partnerships, and delivering engaging events that...",data analyst,ev.careers,2026-07-23 03:48:55.110 +0700,full_time,"Talent Attraction, Events & Industry Pathways Specialist","What To Expect We are seeking an proactive, confident and engaging Industry Relations & Events Specialist to join our Aftersales team, with a focus on promoting Tesla's Aftersales employer brand, coordinating industry partnerships, and delivering engaging events that...",what to expect we are seeking an proactive confident and engaging industry relations events specialist to join our aftersales team with a focus on promoting tesla s aftersales employer brand coordinating industry partnerships and delivering engaging events that,"'aftersal':19,28 'brand':30 'confid':9 'coordin':31 'deliv':35 'employ':29 'engag':11,36 'event':14,37 'expect':3 'focus':23 'industri':12,32 'join':17 'partnership':33 'proactiv':8 'promot':25 'relat':13 'seek':6 'specialist':15 'team':20 'tesla':26","{aftersal,brand,confid,coordin,deliv,employ,engag,event,expect,focus,industri,join,partnership,proactiv,promot,relat,seek,specialist,team,tesla}"
Civil Engineer,Invictus People,$110k,Australia," A growing multidisciplinary engineering consultancy is looking for a Civil Engineer to take ownership of projects across land development, stormwater, civil infrastructure, and site civils for commercial and residential developments. This is a hands on design and delivery...",data analyst,atzcrm.com,2026-05-11 07:46:41.717 +0700,not_specified,Civil Engineer,"A growing multidisciplinary engineering consultancy is looking for a Civil Engineer to take ownership of projects across land development, stormwater, civil infrastructure, and site civils for commercial and residential developments. This is a hands on design and delivery...",a growing multidisciplinary engineering consultancy is looking for a civil engineer to take ownership of projects across land development stormwater civil infrastructure and site civils for commercial and residential developments this is a hands on design and delivery,"'across':17 'civil':10,21,25 'commerci':27 'consult':5 'deliveri':38 'design':36 'develop':19,30 'engin':4,11 'grow':2 'hand':34 'infrastructur':22 'land':18 'look':7 'multidisciplinari':3 'ownership':14 'project':16 'residenti':29 'site':24 'stormwat':20 'take':13","{across,civil,commerci,consult,deliveri,design,develop,engin,grow,hand,infrastructur,land,look,multidisciplinari,ownership,project,residenti,site,stormwat,take}"
Windows System Engineer,IMC,"",Australia," At IMC, technology is at the core of everything we do, and how we build and maintain our user space infrastructure is key to our global success. Our Operations Engineering team designs, automates, and scales the systems that power our workstations, tools, and user environments...",data analyst,swooped.co,2025-09-24 00:00:00.000 +0700,not_specified,Windows System Engineer,"At IMC, technology is at the core of everything we do, and how we build and maintain our user space infrastructure is key to our global success. Our Operations Engineering team designs, automates, and scales the systems that power our workstations, tools, and user environments...",at imc technology is at the core of everything we do and how we build and maintain our user space infrastructure is key to our global success our operations engineering team designs automates and scales the systems that power our workstations tools and user environments,"'autom':33 'build':15 'core':7 'design':32 'engin':30 'environ':45 'everyth':9 'global':26 'imc':2 'infrastructur':21 'key':23 'maintain':17 'oper':29 'power':39 'scale':35 'space':20 'success':27 'system':37 'team':31 'technolog':3 'tool':42 'user':19,44 'workstat':41","{autom,build,core,design,engin,environ,everyth,global,imc,infrastructur,key,maintain,oper,power,scale,space,success,system,team,technolog,tool,user,workstat}"
Senior Project Engineer,Lendlease,"",Australia," Lendlease is a globally integrated real estate group with core expertise in Investment Management, Development, and Construction. For more than 60 years, we have created thriving places around the globe.  
 About the Role: 
 With a national delivery capability, Lendlease...",data analyst,swooped.co,2026-02-27 00:00:00.000 +0700,not_specified,Senior Project Engineer,"Lendlease is a globally integrated real estate group with core expertise in Investment Management, Development, and Construction. For more than 60 years, we have created thriving places around the globe.   About the Role: With a national delivery capability, Lendlease...",lendlease is a globally integrated real estate group with core expertise in investment management development and construction for more than years we have created thriving places around the globe about the role with a national delivery capability lendlease,"'60':21 'around':28 'capabl':39 'construct':17 'core':10 'creat':25 'deliveri':38 'develop':15 'estat':7 'expertis':11 'global':4 'globe':30 'group':8 'integr':5 'invest':13 'lendleas':1,40 'manag':14 'nation':37 'place':27 'real':6 'role':34 'thrive':26 'year':22 ' ':31","{60,around,capabl,construct,core,creat,deliveri,develop,estat,expertis,global,globe,group,integr,invest,lendleas,manag,nation,place,real,role,thrive,year, }"
Quality Engineer,Invictus People,$110k,Australia," Position Description 
 Quality Engineer 
 About the Opportunity 
 An exciting opportunity is available for an experienced Quality Engineer to join a growing advanced manufacturing organisation delivering high precision components and systems for highly regulated industries...",data analyst,atzcrm.com,2026-07-15 03:11:10.827 +0700,not_specified,Quality Engineer,Position Description Quality Engineer About the Opportunity An exciting opportunity is available for an experienced Quality Engineer to join a growing advanced manufacturing organisation delivering high precision components and systems for highly regulated industries...,position description quality engineer about the opportunity an exciting opportunity is available for an experienced quality engineer to join a growing advanced manufacturing organisation delivering high precision components and systems for highly regulated industries,"'advanc':22 'avail':12 'compon':28 'deliv':25 'descript':2 'engin':4,17 'excit':9 'experienc':15 'grow':21 'high':26,32 'industri':34 'join':19 'manufactur':23 'opportun':7,10 'organis':24 'posit':1 'precis':27 'qualiti':3,16 'regul':33 'system':30","{advanc,avail,compon,deliv,descript,engin,excit,experienc,grow,high,industri,join,manufactur,opportun,organis,posit,precis,qualiti,regul,system}"
"Manager, Technical Product Enablement and Specialist Sales (Digital and Agentic)",Mastercard,"",Australia,"&nbsp;...inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible. Using secure <b>data </b>and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and...&nbsp;",data analyst,decentrajobs.com,2026-07-16 04:20:36.963 +0700,full_time,Manager,"...inclusive, digital economy that benefits everyone, everywhere by making transactions safe, simple, smart, and accessible. Using secure data and networks, partnerships and passion, our innovations and solutions help individuals, financial institutions, governments, and...",inclusive digital economy that benefits everyone everywhere by making transactions safe simple smart and accessible using secure data and networks partnerships and passion our innovations and solutions help individuals financial institutions governments and,'access':15 'benefit':5 'data':18 'digit':2 'economi':3 'everyon':6 'everywher':7 'financi':30 'govern':32 'help':28 'inclus':1 'individu':29 'innov':25 'institut':31 'make':9 'network':20 'partnership':21 'passion':23 'safe':11 'secur':17 'simpl':12 'smart':13 'solut':27 'transact':10 'use':16,"{access,benefit,data,digit,economi,everyon,everywher,financi,govern,help,inclus,individu,innov,institut,make,network,partnership,passion,safe,secur,simpl,smart,solut,transact,use}"
QA Engineer,Keypath Education,"",Australia,"&nbsp;...release cycles. Shifting completely away from routine non-regulated <b>data </b>transcription loops, entry-level website text updates, or...&nbsp;&nbsp;...operating as a Quality Assurance Engineer, Automated Tester, SDET, Test <b>Analyst,</b> or closely matching tech-enabled quality verification capacity....&nbsp;",data analyst,hireskys.com,2026-07-07 07:54:24.497 +0700,full_time,QA Engineer,"...release cycles. Shifting completely away from routine non-regulated data transcription loops, entry-level website text updates, or... ...operating as a Quality Assurance Engineer, Automated Tester, SDET, Test Analyst, or closely matching tech-enabled quality verification capacity....",release cycles shifting completely away from routine non regulated data transcription loops entry level website text updates or operating as a quality assurance engineer automated tester sdet test analyst or closely matching tech enabled quality verification capacity,"'analyst':31 'assur':25 'autom':27 'away':5 'capac':40 'close':33 'complet':4 'cycl':2 'data':11 'enabl':37 'engin':26 'entri':15 'entry-level':14 'level':16 'loop':13 'match':34 'non':9 'non-regul':8 'oper':21 'qualiti':24,38 'regul':10 'releas':1 'routin':7 'sdet':29 'shift':3 'tech':36 'tech-en':35 'test':30 'tester':28 'text':18 'transcript':12 'updat':19 'verif':39 'websit':17","{analyst,assur,autom,away,capac,close,complet,cycl,data,enabl,engin,entri,entry-level,level,loop,match,non,non-regul,oper,qualiti,regul,releas,routin,sdet,shift,tech,tech-en,test,tester,text,transcript,updat,verif,websit}"
Manufacturing Engineer - Sydney,Anduril Industries,"",Australia,"&nbsp;...designed, built and sold. Anduril’s family of systems is powered by Lattice OS, an AI-powered operating system that turns thousands of <b>data </b>streams into a realtime, 3D command and control center. As the world enters an era of strategic competition, Anduril is committed to...&nbsp;",data analyst,swooped.co,2026-02-27 00:00:00.000 +0700,not_specified,Manufacturing Engineer - Sydney,"...designed, built and sold. Anduril’s family of systems is powered by Lattice OS, an AI-powered operating system that turns thousands of data streams into a realtime, 3D command and control center. As the world enters an era of strategic competition, Anduril is committed to...",designed built and sold anduril s family of systems is powered by lattice os an ai powered operating system that turns thousands of data streams into a realtime d command and control center as the world enters an era of strategic competition anduril is committed to,"'3d':29 'ai':16 'ai-pow':15 'anduril':43 'anduril’':5 'built':2 'center':33 'command':30 'commit':45 'competit':42 'control':32 'data':24 'design':1 'enter':37 'era':39 'famili':6 'lattic':12 'oper':18 'os':13 'power':10,17 'realtim':28 'sold':4 'strateg':41 'stream':25 'system':8,19 'thousand':22 'turn':21 'world':36","{3d,ai,ai-pow,anduril,anduril’,built,center,command,commit,competit,control,data,design,enter,era,famili,lattic,oper,os,power,realtim,sold,strateg,stream,system,thousand,turn,world}"
Site Engineer,Lendlease,"",Australia," Lendlease is a globally integrated real estate group with core expertise in Investment Management, Development, and Construction. For more than 60 years, we have created thriving places around the globe.  
 About the Role: 
 With a national delivery capability, Lendlease...",data analyst,swooped.co,2026-02-27 00:00:00.000 +0700,not_specified,Site Engineer,"Lendlease is a globally integrated real estate group with core expertise in Investment Management, Development, and Construction. For more than 60 years, we have created thriving places around the globe.   About the Role: With a national delivery capability, Lendlease...",lendlease is a globally integrated real estate group with core expertise in investment management development and construction for more than years we have created thriving places around the globe about the role with a national delivery capability lendlease,"'60':21 'around':28 'capabl':39 'construct':17 'core':10 'creat':25 'deliveri':38 'develop':15 'estat':7 'expertis':11 'global':4 'globe':30 'group':8 'integr':5 'invest':13 'lendleas':1,40 'manag':14 'nation':37 'place':27 'real':6 'role':34 'thrive':26 'year':22 ' ':31","{60,around,capabl,construct,core,creat,deliveri,develop,estat,expertis,global,globe,group,integr,invest,lendleas,manag,nation,place,real,role,thrive,year, }"
